set V := VEH01 VEH02 VEH03 VEH04 VEH05 ;
set N := PTO01 MUN02 MUN03 MUN04 MUN05 MUN06 MUN07 MUN08 MUN09 MUN10 MUN11 MUN12 MUN13 MUN14 MUN15 EST01 EST02 EST03 EST04 EST05 EST06 EST07 EST08 EST09 EST10 EST11 EST12 ;
set D := MUN02 MUN03 MUN04 MUN05 MUN06 MUN07 MUN08 MUN09 MUN10 MUN11 MUN12 MUN13 MUN14 MUN15 ;
set P := PTO01 ;
set E := EST01 EST02 EST03 EST04 EST05 EST06 EST07 EST08 EST09 EST10 EST11 EST12 ;
param Q :=
VEH01 80.0
VEH02 60.0
VEH03 50.0
VEH04 40.0
VEH05 30.0
;
param F_cap :=
VEH01 1290.0
VEH02 1132.5
VEH03 975.0
VEH04 825.0
VEH05 652.5
;
param demand :=
MUN02 30.0
MUN03 25.0
MUN04 22.0
MUN05 18.0
MUN06 15.0
MUN07 17.0
MUN08 12.0
MUN09 10.0
MUN10 11.0
MUN11 9.0
MUN12 10.0
MUN13 7.0
MUN14 8.0
MUN15 10.0
;
param fuel_price :=
EST01 13500.0
EST02 14000.0
EST03 13800.0
EST04 15200.0
EST05 14800.0
EST06 15500.0
EST07 16000.0
EST08 16500.0
EST09 16200.0
EST10 15800.0
EST11 15300.0
EST12 14900.0
PTO01 13500.0
MUN02 0.0
MUN03 0.0
MUN04 0.0
MUN05 0.0
MUN06 0.0
MUN07 0.0
MUN08 0.0
MUN09 0.0
MUN10 0.0
MUN11 0.0
MUN12 0.0
MUN13 0.0
MUN14 0.0
MUN15 0.0
;
param dist :=
PTO01 MUN02 874.8542
PTO01 MUN03 569.0973
PTO01 MUN04 945.8913
PTO01 MUN05 1050.7522
PTO01 MUN06 673.7120
PTO01 MUN07 1097.2358
PTO01 MUN08 495.2993
PTO01 MUN09 926.1892
PTO01 MUN10 841.1585
PTO01 MUN11 752.5126
PTO01 MUN12 649.6512
PTO01 MUN13 843.6354
PTO01 MUN14 782.0134
PTO01 MUN15 909.7809
PTO01 EST01 0.0000
PTO01 EST02 100.4557
PTO01 EST03 72.0853
PTO01 EST04 464.8220
PTO01 EST05 709.5283
PTO01 EST06 533.4813
PTO01 EST07 860.0858
PTO01 EST08 354.7469
PTO01 EST09 266.7185
PTO01 EST10 696.4878
PTO01 EST11 773.7896
PTO01 EST12 600.4345
MUN02 PTO01 874.8542
MUN02 MUN03 334.1056
MUN02 MUN04 549.0747
MUN02 MUN05 218.5143
MUN02 MUN06 221.1118
MUN02 MUN07 236.4946
MUN02 MUN08 577.8658
MUN02 MUN09 526.9960
MUN02 MUN10 287.4574
MUN02 MUN11 440.5598
MUN02 MUN12 562.2291
MUN02 MUN13 392.9451
MUN02 MUN14 122.8547
MUN02 MUN15 313.2417
MUN02 EST01 874.8542
MUN02 EST02 858.4047
MUN02 EST03 877.0886
MUN02 EST04 410.9274
MUN02 EST05 311.3372
MUN02 EST06 537.0575
MUN02 EST07 575.1110
MUN02 EST08 552.7860
MUN02 EST09 675.0136
MUN02 EST10 531.4723
MUN02 EST11 436.6781
MUN02 EST12 295.9202
MUN03 PTO01 569.0973
MUN03 MUN02 334.1056
MUN03 MUN04 484.1201
MUN03 MUN05 483.5684
MUN03 MUN06 113.5866
MUN03 MUN07 535.0828
MUN03 MUN08 264.7947
MUN03 MUN09 459.3665
MUN03 MUN10 289.5815
MUN03 MUN11 286.0147
MUN03 MUN12 315.2085
MUN03 MUN13 331.6159
MUN03 MUN14 221.9137
MUN03 MUN15 359.5592
MUN03 EST01 569.0973
MUN03 EST02 536.7389
MUN03 EST03 586.4102
MUN03 EST04 129.3062
MUN03 EST05 168.0824
MUN03 EST06 235.4733
MUN03 EST07 444.4880
MUN03 EST08 224.2074
MUN03 EST09 344.1285
MUN03 EST10 315.2589
MUN03 EST11 299.7448
MUN03 EST12 38.4902
MUN04 PTO01 945.8913
MUN04 MUN02 549.0747
MUN04 MUN03 484.1201
MUN04 MUN05 477.9261
MUN04 MUN06 472.4380
MUN04 MUN07 550.1026
MUN04 MUN08 452.8418
MUN04 MUN09 25.1026
MUN04 MUN10 264.8411
MUN04 MUN11 204.9401
MUN04 MUN12 304.3170
MUN04 MUN13 167.0127
MUN04 MUN14 464.3540
MUN04 MUN15 240.5129
MUN04 EST01 945.8913
MUN04 EST02 874.3123
MUN04 EST03 988.3658
MUN04 EST04 607.1760
MUN04 EST05 324.2371
MUN04 EST06 412.4484
MUN04 EST07 105.1970
MUN04 EST08 611.5498
MUN04 EST09 679.1817
MUN04 EST10 252.0082
MUN04 EST11 187.1216
MUN04 EST12 484.9187
MUN05 PTO01 1050.7522
MUN05 MUN02 218.5143
MUN05 MUN03 483.5684
MUN05 MUN04 477.9261
MUN05 MUN06 377.2750
MUN05 MUN07 73.5568
MUN05 MUN08 675.2923
MUN05 MUN09 462.5667
MUN05 MUN10 280.6034
MUN05 MUN11 457.0625
MUN05 MUN12 608.7189
MUN05 MUN13 367.8774
MUN05 MUN14 270.9507
MUN05 MUN15 252.9019
MUN05 EST01 1050.7522
MUN05 EST02 1019.9676
MUN05 EST03 1062.1944
MUN05 EST04 589.5261
MUN05 EST05 382.6245
MUN05 EST06 628.2368
MUN05 EST07 541.5739
MUN05 EST08 706.8101
MUN05 EST09 823.4883
MUN05 EST10 562.9126
MUN05 EST11 443.4904
MUN05 EST12 450.5293
MUN06 PTO01 673.7120
MUN06 MUN02 221.1118
MUN06 MUN03 113.5866
MUN06 MUN04 472.4380
MUN06 MUN05 377.2750
MUN06 MUN07 424.7409
MUN06 MUN08 363.3672
MUN06 MUN09 447.4088
MUN06 MUN10 232.5955
MUN06 MUN11 299.2565
MUN06 MUN12 377.8065
MUN06 MUN13 306.8696
MUN06 MUN14 109.5080
MUN06 MUN15 297.2743
MUN06 EST01 673.7120
MUN06 EST02 647.0493
MUN06 EST03 685.3716
MUN06 EST04 213.3179
MUN06 EST05 153.8814
MUN06 EST06 326.5637
MUN06 EST07 457.6640
MUN06 EST08 336.2249
MUN06 EST09 457.1814
MUN06 EST10 361.8326
MUN06 EST11 305.7275
MUN06 EST12 76.2661
MUN07 PTO01 1097.2358
MUN07 MUN02 236.4946
MUN07 MUN03 535.0828
MUN07 MUN04 550.1026
MUN07 MUN05 73.5568
MUN07 MUN06 424.7409
MUN07 MUN08 739.8131
MUN07 MUN09 535.2496
MUN07 MUN10 351.8971
MUN07 MUN11 528.9213
MUN07 MUN12 679.1916
MUN07 MUN13 441.1712
MUN07 MUN14 315.5306
MUN07 MUN15 326.4204
MUN07 EST01 1097.2358
MUN07 EST02 1071.4621
MUN07 EST03 1104.7820
MUN07 EST04 633.0526
MUN07 EST05 447.5139
MUN07 EST06 693.4046
MUN07 EST07 615.0699
MUN07 EST08 759.2840
MUN07 EST09 878.1376
MUN07 EST10 634.3835
MUN07 EST11 515.8591
MUN07 EST12 500.0931
MUN08 PTO01 495.2993
MUN08 MUN02 577.8658
MUN08 MUN03 264.7947
MUN08 MUN04 452.8418
MUN08 MUN05 675.2923
MUN08 MUN06 363.3672
MUN08 MUN07 739.8131
MUN08 MUN09 434.4983
MUN08 MUN10 409.0045
MUN08 MUN11 272.2882
MUN08 MUN12 154.9053
MUN08 MUN13 374.7204
MUN08 MUN14 455.8047
MUN08 MUN15 467.4408
MUN08 EST01 495.2993
MUN08 EST02 421.4852
MUN08 EST03 542.7923
MUN08 EST04 300.0657
MUN08 EST05 292.6923
MUN08 EST06 48.4424
MUN08 EST07 364.7882
MUN08 EST08 198.9192
MUN08 EST09 229.5863
MUN08 EST10 201.5780
MUN08 EST11 293.9118
MUN08 EST12 300.3958
MUN09 PTO01 926.1892
MUN09 MUN02 526.9960
MUN09 MUN03 459.3665
MUN09 MUN04 25.1026
MUN09 MUN05 462.5667
MUN09 MUN06 447.4088
MUN09 MUN07 535.2496
MUN09 MUN08 434.4983
MUN09 MUN10 241.6301
MUN09 MUN11 181.6651
MUN09 MUN12 288.3859
MUN09 MUN13 142.3886
MUN09 MUN14 440.5010
MUN09 MUN15 220.7833
MUN09 EST01 926.1892
MUN09 EST02 855.9049
MUN09 EST03 967.7454
MUN09 EST04 582.7983
MUN09 EST05 299.1480
MUN09 EST06 393.0873
MUN09 EST07 100.0135
MUN09 EST08 589.6887
MUN09 EST09 659.5748
MUN09 EST10 234.8944
MUN09 EST11 163.2854
MUN09 EST12 459.9074
MUN10 PTO01 841.1585
MUN10 MUN02 287.4574
MUN10 MUN03 289.5815
MUN10 MUN04 264.8411
MUN10 MUN05 280.6034
MUN10 MUN06 232.5955
MUN10 MUN07 351.8971
MUN10 MUN08 409.0045
MUN10 MUN09 241.6301
MUN10 MUN11 177.2694
MUN10 MUN12 328.3231
MUN10 MUN13 105.7969
MUN10 MUN14 200.7659
MUN10 MUN15 70.1161
MUN10 EST01 841.1585
MUN10 EST02 792.6803
MUN10 EST03 866.8846
MUN10 EST04 418.0835
MUN10 EST05 131.6387
MUN10 EST06 360.6692
MUN10 EST07 289.3956
MUN10 EST08 486.4140
MUN10 EST09 589.5701
MUN10 EST10 282.4901
MUN10 EST11 165.6122
MUN10 EST12 273.0843
MUN11 PTO01 752.5126
MUN11 MUN02 440.5598
MUN11 MUN03 286.0147
MUN11 MUN04 204.9401
MUN11 MUN05 457.0625
MUN11 MUN06 299.2565
MUN11 MUN07 528.9213
MUN11 MUN08 272.2882
MUN11 MUN09 181.6651
MUN11 MUN10 177.2694
MUN11 MUN12 156.7941
MUN11 MUN13 105.8347
MUN11 MUN14 329.0173
MUN11 MUN15 214.6290
MUN11 EST01 752.5126
MUN11 EST02 687.9447
MUN11 EST03 790.7485
MUN11 EST04 404.6156
MUN11 EST05 146.1051
MUN11 EST06 226.0878
MUN11 EST07 160.3905
MUN11 EST08 409.7565
MUN11 EST09 487.3734
MUN11 EST10 106.4275
MUN11 EST11 21.6779
MUN11 EST12 293.2093
MUN12 PTO01 649.6512
MUN12 MUN02 562.2291
MUN12 MUN03 315.2085
MUN12 MUN04 304.3170
MUN12 MUN05 608.7189
MUN12 MUN06 377.8065
MUN12 MUN07 679.1916
MUN12 MUN08 154.9053
MUN12 MUN09 288.3859
MUN12 MUN10 328.3231
MUN12 MUN11 156.7941
MUN12 MUN13 261.2915
MUN12 MUN14 441.6490
MUN12 MUN15 371.2224
MUN12 EST01 649.6512
MUN12 EST02 572.9618
MUN12 EST03 697.6938
MUN12 EST04 399.1812
MUN12 EST05 250.9681
MUN12 EST06 125.5817
MUN12 EST07 211.0382
MUN12 EST08 341.4398
MUN12 EST09 384.4549
MUN12 EST10 55.5358
MUN12 EST11 175.3442
MUN12 EST12 339.6394
MUN13 PTO01 843.6354
MUN13 MUN02 392.9451
MUN13 MUN03 331.6159
MUN13 MUN04 167.0127
MUN13 MUN05 367.8774
MUN13 MUN06 306.8696
MUN13 MUN07 441.1712
MUN13 MUN08 374.7204
MUN13 MUN09 142.3886
MUN13 MUN10 105.7969
MUN13 MUN11 105.8347
MUN13 MUN12 261.2915
MUN13 MUN14 299.4645
MUN13 MUN15 116.2351
MUN13 EST01 843.6354
MUN13 EST02 784.1435
MUN13 EST03 877.4698
MUN13 EST04 459.4066
MUN13 EST05 164.7454
MUN13 EST06 327.3203
MUN13 EST07 183.9614
MUN13 EST08 493.4953
MUN13 EST09 581.5865
MUN13 EST10 208.2962
MUN13 EST11 86.0090
MUN13 EST12 326.5720
MUN14 PTO01 782.0134
MUN14 MUN02 122.8547
MUN14 MUN03 221.9137
MUN14 MUN04 464.3540
MUN14 MUN05 270.9507
MUN14 MUN06 109.5080
MUN14 MUN07 315.5306
MUN14 MUN08 455.8047
MUN14 MUN09 440.5010
MUN14 MUN10 200.7659
MUN14 MUN11 329.0173
MUN14 MUN12 441.6490
MUN14 MUN13 299.4645
MUN14 MUN15 248.6098
MUN14 EST01 782.0134
MUN14 EST02 756.5493
MUN14 EST03 791.5736
MUN14 EST04 318.9145
MUN14 EST05 191.9270
MUN14 EST06 414.4353
MUN14 EST07 474.2351
MUN14 EST08 445.5289
MUN14 EST09 566.0345
MUN14 EST10 413.7621
MUN14 EST11 328.2391
MUN14 EST12 185.5278
MUN15 PTO01 909.7809
MUN15 MUN02 313.2417
MUN15 MUN03 359.5592
MUN15 MUN04 240.5129
MUN15 MUN05 252.9019
MUN15 MUN06 297.2743
MUN15 MUN07 326.4204
MUN15 MUN08 467.4408
MUN15 MUN09 220.7833
MUN15 MUN10 70.1161
MUN15 MUN11 214.6290
MUN15 MUN12 371.2224
MUN15 MUN13 116.2351
MUN15 MUN14 248.6098
MUN15 EST01 909.7809
MUN15 EST02 859.4528
MUN15 EST03 936.4012
MUN15 EST04 487.8270
MUN15 EST05 200.5925
MUN15 EST06 419.0170
MUN15 EST07 290.1832
MUN15 EST08 555.0885
MUN15 EST09 656.0626
MUN15 EST10 320.5874
MUN15 EST11 197.7384
MUN15 EST12 342.1540
EST01 PTO01 0.0000
EST01 MUN02 874.8542
EST01 MUN03 569.0973
EST01 MUN04 945.8913
EST01 MUN05 1050.7522
EST01 MUN06 673.7120
EST01 MUN07 1097.2358
EST01 MUN08 495.2993
EST01 MUN09 926.1892
EST01 MUN10 841.1585
EST01 MUN11 752.5126
EST01 MUN12 649.6512
EST01 MUN13 843.6354
EST01 MUN14 782.0134
EST01 MUN15 909.7809
EST01 EST02 100.4557
EST01 EST03 72.0853
EST01 EST04 464.8220
EST01 EST05 709.5283
EST01 EST06 533.4813
EST01 EST07 860.0858
EST01 EST08 354.7469
EST01 EST09 266.7185
EST01 EST10 696.4878
EST01 EST11 773.7896
EST01 EST12 600.4345
EST02 PTO01 100.4557
EST02 MUN02 858.4047
EST02 MUN03 536.7389
EST02 MUN04 874.3123
EST02 MUN05 1019.9676
EST02 MUN06 647.0493
EST02 MUN07 1071.4621
EST02 MUN08 421.4852
EST02 MUN09 855.9049
EST02 MUN10 792.6803
EST02 MUN11 687.9447
EST02 MUN12 572.9618
EST02 MUN13 784.1435
EST02 MUN14 756.5493
EST02 MUN15 859.4528
EST02 EST01 100.4557
EST02 EST03 171.4228
EST02 EST04 449.2166
EST02 EST05 661.7926
EST02 EST06 463.6347
EST02 EST07 783.9705
EST02 EST08 313.2375
EST02 EST09 203.4808
EST02 EST10 622.6725
EST02 EST11 709.5410
EST02 EST12 571.3808
EST03 PTO01 72.0853
EST03 MUN02 877.0886
EST03 MUN03 586.4102
EST03 MUN04 988.3658
EST03 MUN05 1062.1944
EST03 MUN06 685.3716
EST03 MUN07 1104.7820
EST03 MUN08 542.7923
EST03 MUN09 967.7454
EST03 MUN10 866.8846
EST03 MUN11 790.7485
EST03 MUN12 697.6938
EST03 MUN13 877.4698
EST03 MUN14 791.5736
EST03 MUN15 936.4012
EST03 EST01 72.0853
EST03 EST02 171.4228
EST03 EST04 472.6907
EST03 EST05 735.8671
EST03 EST06 577.6790
EST03 EST07 906.4720
EST03 EST08 384.0890
EST03 EST09 313.4648
EST03 EST10 742.0299
EST03 EST11 811.6343
EST03 EST12 614.8746
EST04 PTO01 464.8220
EST04 MUN02 410.9274
EST04 MUN03 129.3062
EST04 MUN04 607.1760
EST04 MUN05 589.5261
EST04 MUN06 213.3179
EST04 MUN07 633.0526
EST04 MUN08 300.0657
EST04 MUN09 582.7983
EST04 MUN10 418.0835
EST04 MUN11 404.6156
EST04 MUN12 399.1812
EST04 MUN13 459.4066
EST04 MUN14 318.9145
EST04 MUN15 487.8270
EST04 EST01 464.8220
EST04 EST02 449.2166
EST04 EST03 472.6907
EST04 EST05 297.0516
EST04 EST06 290.4329
EST04 EST07 558.1983
EST04 EST08 162.4701
EST04 EST09 280.9979
EST04 EST10 413.3325
